id,naslov,avtor,povprecna_ocena,st_ocen,score
2654,To Kill a Mockingbird,Harper Lee,4.27,3763124,922
5470,1984,George Orwell,4.16,2436814,854
4671,The Great Gatsby,F. Scott Fitzgerald,3.90,3155127,677
3,Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.46,5621523,666
7613,Animal Farm,George Orwell,3.90,2245669,463
5907,The Hobbit,J.R.R. Tolkien,4.26,2432523,441
48855,The Diary of a Young Girl,Anne Frank,4.12,2297646,438
578651,The Catcher in the Rye,J.D. Salinger,3.80,2351692,385
17470674,Fahrenheit 451,Ray Bradbury,3.98,1328276,384
2657,To Kill a Mockingbird,Harper Lee,4.27,3763124,355
18114322,The Grapes of Wrath,John Steinbeck,3.94,619697,351
100915,"The Lion, the Witch and the Wardrobe",C.S. Lewis,4.20,1809720,348
320,One Hundred Years of Solitude,Gabriel García Márquez,4.05,633498,339
5129,Brave New World,Aldous Huxley,3.98,1208720,330
3241368,The Little Prince and Letter to a Hostage,Antoine de Saint-Exupéry,4.29,1035187,325
5107,The Catcher in the Rye,J.D. Salinger,3.80,2351692,306
18405,Gone with the Wind,Margaret Mitchell,4.29,971933,302
890,Of Mice and Men,John Steinbeck,3.85,1668886,292
3636,The Giver,Lois Lowry,4.12,1459689,281
5,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.55,2228890,277
2927579,Il signore delle mosche,William Golding,3.66,1847507,268
4981,Slaughterhouse-Five,Kurt Vonnegut,4.07,981265,261
7604,Lolita,Vladimir Nabokov,3.89,567341,256
4406,East of Eden,John Steinbeck,4.36,368703,229
332613,One Flew Over the Cuckoo's Nest,Ken Kesey,4.19,545032,220
13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,253587,213
929,Memoirs of a Geisha,Arthur Golden,4.09,1530024,212
38447,The Handmaid's Tale,Margaret Atwood,4.09,955850,210
49552,The Stranger,Albert Camus,3.97,559170,206
34,The Fellowship of the Ring,J.R.R. Tolkien,4.35,2029438,205
24178,Charlotte's Web,E.B. White,4.16,1205522,197
15881,Harry Potter and the Chamber of Secrets,J.K. Rowling,4.40,2174931,193
11127,The Chronicles of Narnia,C.S. Lewis,4.25,439421,193
18131,A Wrinkle in Time,Madeleine L&#39;Engle,4.02,811831,192
2165,The Old Man and the Sea,Ernest Hemingway,3.75,665674,186
375802,Ender's Game,Orson Scott Card,4.30,969062,177
370493,The Giving Tree,Shel Silverstein,4.37,792707,172
18512,The Return of the King,J.R.R. Tolkien,4.52,563941,164
14891,A Tree Grows in Brooklyn,Betty  Smith,4.25,334518,162
6514,The Bell Jar,Sylvia Plath,3.99,493694,162
1617,Night,Elie Wiesel,4.31,821047,161
15241,The Two Towers,J.R.R. Tolkien,4.43,587403,160
76620,Watership Down,Richard  Adams,4.06,331973,152
865,The Alchemist,Paulo Coelho,3.84,1655167,146
168642,In Cold Blood,Truman Capote,4.06,446707,144
23772,Green Eggs and Ham,Dr. Seuss,4.30,522210,142
8127,Anne of Green Gables,L.M. Montgomery,4.24,601235,142
662,Atlas Shrugged,Ayn Rand,3.68,321882,141
7244,The Poisonwood Bible,Barbara Kingsolver,4.04,597641,137
9712,Love in the Time of Cholera,Gabriel García Márquez,3.90,350160,136
11486,The Color Purple,Alice Walker,4.18,442316,136
52036,Siddhartha,Hermann Hesse,4.00,477661,136
188572,"The Complete Sherlock Holmes, Vol 1",Arthur Conan Doyle,4.50,137941,133
485894,The Metamorphosis,Franz Kafka,3.80,492341,131
4473,A Prayer for Owen Meany,John Irving,4.23,263559,130
149267,The Stand,Stephen King,4.34,525794,129
2998,The Secret Garden,Frances Hodgson Burnett,4.12,766770,129
9717,The Unbearable Lightness of Being,Milan Kundera,4.09,279153,129
19543,Where the Wild Things Are,Maurice Sendak,4.22,710268,128
119073,The Name of the Rose,Umberto Eco,4.12,252076,126
7784,The Lorax,Dr. Seuss,4.35,242515,124
6310,Charlie and the Chocolate Factory,Roald Dahl,4.12,555675,123
5043,The Pillars of the Earth,Ken Follett,4.30,555064,119
234225,Dune,Frank Herbert,4.21,588213,117
70401,On the Road,Jack Kerouac,3.63,302446,115
3876,The Sun Also Rises,Ernest Hemingway,3.82,327919,113
117833,The Master and Margarita,Mikhail Bulgakov,4.31,188300,113
231804,The Outsiders,S.E. Hinton,4.08,769380,112
338798,Ulysses,James Joyce,3.74,96318,111
386162,The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.21,1162447,108
1078,The Good Earth,Pearl S. Buck,3.98,205691,105
355697,All Quiet on the Western Front,Erich Maria Remarque,3.94,308673,104
6149,Beloved,Toni Morrison,3.80,269555,104
157993,The Little Prince,Antoine de Saint-Exupéry,4.29,1035187,103
310612,A Confederacy of Dunces,John Kennedy Toole,3.89,203552,98.767
13496930,Rebecca,Daphne du Maurier,4.22,369322,96.759
7763,The Joy Luck Club,Amy Tan,3.91,553485,93.926
2122,The Fountainhead,Ayn Rand,3.86,273159,93.834
252577,Angela's Ashes,Frank McCourt,4.09,468317,93.676
10975,The Sound and the Fury,William Faulkner,3.86,143519,92.799
46170,For Whom the Bell Tolls,Ernest Hemingway,3.96,222974,92.580
7069,The World According to Garp,John Irving,4.08,188964,88.987
77767,Little House on the Prairie,Laura Ingalls Wilder,4.19,226499,87.688
10799,A Farewell to Arms,Ernest Hemingway,3.79,227487,85.211
37415,Their Eyes Were Watching God,Zora Neale Hurston,3.89,220372,84.430
227463,A Clockwork Orange,Anthony Burgess,3.99,511011,84.152
16981,Invisible Man,Ralph Ellison,3.85,139262,83.681
10365,Where the Red Fern Grows,Wilson Rawls,4.05,301333,79.969
11138,Mere Christianity,C.S. Lewis,4.32,239510,74.464
17716,Waiting for Godot,Samuel Beckett,3.82,133776,74.033
18373,Flowers for Algernon,Daniel Keyes,4.09,391953,72.301
256008,Lonesome Dove,Larry McMurtry,4.48,128194,69.796
133518,The Things They Carried,Tim O&#39;Brien,4.12,216001,69.005
4989,The Red Tent,Anita Diamant,4.16,471082,68.855
228560,Sophie's Choice,William Styron,4.18,75712,68.705
7745,Fear and Loathing in Las Vegas,Hunter S. Thompson,4.08,265489,67.198
7588,A Portrait of the Artist as a Young Man,James Joyce,3.61,111876,65.912
5113,Franny and Zooey,J.D. Salinger,3.98,171767,65.786
40495148,Blindness,José Saramago,4.10,154449,64.445
59716,To the Lighthouse,Virginia Woolf,3.77,107447,64.086
135479,Cat's Cradle,Kurt Vonnegut,4.17,300752,62.819
13496,A Game of Thrones,George R.R. Martin,4.45,1665679,61.094
5203,She's Come Undone,Wally Lamb,3.86,285349,51.014
99107,Winnie-the-Pooh,A.A. Milne,4.34,231645,50.667
21787,The Princess Bride,William Goldman,4.26,687694,49.925
17690,The Trial,Franz Kafka,3.99,186913,48.368
16299,And Then There Were None,Agatha Christie,4.25,583071,48.311
1852,The Call of the Wild,Jack London,3.84,277930,47.639
30119,Where the Sidewalk Ends,Shel Silverstein,4.29,1086471,46.021
343,Perfume: The Story of a Murderer,Patrick Süskind,4.01,259123,45.386
5759,Fight Club,Chuck Palahniuk,4.20,425266,42.423
16631,Steppenwolf,Hermann Hesse,4.12,110879,42.155
561909,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.41,213131,41.278
472331,Watchmen,Alan Moore,4.35,441685,39.613
17250,The Crucible,Arthur Miller,3.56,278173,39.533
14942,Mrs. Dalloway,Virginia Woolf,3.79,186638,38.949
394535,"Blood Meridian, or the Evening Redness in the West",Cormac McCarthy,4.18,90257,38.246
77727,Calvin and Hobbes,Bill Watterson,4.60,130432,38.207
22628,The Perks of Being a Wallflower,Stephen Chbosky,4.20,1067796,38.164
144974,The Velveteen Rabbit,Margery Williams Bianco,4.29,200182,37.402
43763,Interview with the Vampire,Anne Rice,3.98,430188,36.620
37781,Things Fall Apart,Chinua Achebe,3.63,240686,36.393
168668,Catch-22,Joseph Heller,3.98,641279,35.551
113946,How the Grinch Stole Christmas!,Dr. Seuss,4.36,282514,34.870
77013,As I Lay Dying,William Faulkner,3.72,120742,34.380
2547,The Prophet,Kahlil Gibran,4.23,183729,34.000
34080,The Waste Land,T.S. Eliot,4.10,35827,33.360
32929,Goodnight Moon,Margaret Wise Brown,4.27,267165,32.859
11588,The Shining,Stephen King,4.20,922227,32.042
11989,The Plague,Albert Camus,3.98,125008,31.943
546018,Roots: The Saga of an American Family,Alex Haley,4.43,131931,31.836
3412,The Thorn Birds,Colleen McCullough,4.23,287031,31.590
17899948,Rebecca,Daphne du Maurier,4.22,369322,31.408
34268,Peter Pan,J.M. Barrie,4.09,223909,31.405
402093,Shōgun,James Clavell,4.38,127907,30.119
17125,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,3.95,79430,30.006
5211,A Fine Balance,Rohinton Mistry,4.35,112291,29.606
10964,Outlander,Diana Gabaldon,4.22,672166,29.569
13214,I Know Why the Caged Bird Sings,Maya Angelou,4.21,329671,28.917
39988,Matilda,Roald Dahl,4.29,500373,28.870
350,Stranger in a Strange Land,Robert A. Heinlein,3.91,247232,28.474
14836,Midnight's Children,Salman Rushdie,3.99,92199,28.360
6759,Infinite Jest,David Foster Wallace,4.30,63877,28.189
11275,The Wind-Up Bird Chronicle,Haruki Murakami,4.17,180542,28.005
18116,His Dark Materials,Philip Pullman,4.26,109634,27.293
17383917,The Screwtape Letters,C.S. Lewis,4.21,274279,27.050
12220,A Streetcar Named Desire,Tennessee Williams,3.98,239563,26.868
4687,The Cider House Rules,John Irving,4.11,143744,26.615
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.25,381382,26.359
11012,Dubliners,James Joyce,3.85,102569,26.274
9328,The House of the Spirits,Isabel Allende,4.21,155700,26.166
7082,Do Androids Dream of Electric Sheep?,Philip K. Dick,4.08,280370,25.797
9777,The God of Small Things,Arundhati Roy,3.93,204911,25.629
4069,Man's Search for Meaning,Viktor E. Frankl,4.35,254723,25.412
4980,Breakfast of Champions,Kurt Vonnegut,4.08,200503,25.363
402045,The Mists of Avalon,Marion Zimmer Bradley,4.12,173831,25.340
130440,Doctor Zhivago,Boris Pasternak,4.03,70803,25.184
17728,The House of Mirth,Edith Wharton,3.95,72987,25.073
71728,Jonathan Livingston Seagull,Richard Bach,3.81,167405,24.550
43545,The Once and Future King,T.H. White,4.08,87483,24.073
12898,Death of a Salesman,Arthur Miller,3.50,159371,23.987
960,Angels and Demons,Dan Brown,3.88,2305173,23.957
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,4.02,217291,23.903
7332,The Silmarillion,J.R.R. Tolkien,3.90,180097,23.780
6900,Tuesdays with Morrie,Mitch Albom,4.08,660832,23.757
16304,Murder on the Orient Express,Agatha Christie,4.16,269021,23.590
92057,The Autobiography of Malcolm X,Malcolm X,4.30,154759,23.483
76778,The Martian Chronicles,Ray Bradbury,4.13,177156,23.261
830502,It,Stephen King,4.22,617027,23.030
5659,The Wind in the Willows,Kenneth Grahame,3.98,156845,22.951
41681,The Jungle,Upton Sinclair,3.73,117328,22.657
1295,The Clan of the Cave Bear,Jean M. Auel,4.03,201302,22.470
17150,My Ántonia,Willa Cather,3.78,109062,22.360
